,org_mode,NM,N size/M Count,PLaser,Pout,no_of_bits,DR
0,MWA,NnotM,193,10,-27.090899,1,1
1,MWA,NnotM,160,10,-23.59020904,1,5
2,MWA,NnotM,146,10,-22.10489659,1,10
3,MWA,N=M,228,10,-27.02074686,1,1
4,MWA,N=M,156,10,-23.50394273,1,5
5,MWA,N=M,130,10,-22.03904719,1,10
6,MAW,NnotM,164,10,-27.01456309,1,1
7,MAW,NnotM,131,10,-23.51334381,1,5
8,MAW,NnotM,117,10,-22.0277263,1,10
9,MAW,N=M,166,10,-27.03300175,1,1
10,MAW,N=M,106,10,-23.53325245,1,5
11,MAW,N=M,85,10,-22.03524716,1,10
12,AMW,NnotM,155,10,-27.05975389,1,1
13,AMW,NnotM,122,10,-23.55832501,1,5
14,AMW,NnotM,108,10,-22.07258171,1,10
15,AMW,N=M,147,10,-27.01271169,1,1
16,AMW,N=M,92,10,-23.55822107,1,5
17,AMW,N=M,73,10,-22.06841173,1,10
