Tier,Topology,Org Mode,Bit Precision (B),Data Rate (GS/s),PD Sensitivity (dBm),Max N or M,P_out (dBm)
Tier_1,N=M,AMW,1,1,-27.0,147,-27.01
Tier_1,N=M,AMW,1,5,-23.5,92,-23.56
Tier_1,N=M,AMW,1,10,-22.0,73,-22.07
Tier_2,NnotM,AMW,1,1,-27.0,155,-27.07
Tier_2,NnotM,AMW,1,5,-23.5,122,-23.57
Tier_2,NnotM,AMW,1,10,-22.0,108,-22.08
Tier_3,N=M,MAW,1,1,-27.0,166,-27.03
Tier_3,N=M,MAW,1,5,-23.5,106,-23.53
Tier_3,N=M,MAW,1,10,-22.0,85,-22.04
Tier_4,NnotM,MAW,1,1,-27.0,164,-27.02
Tier_4,NnotM,MAW,1,5,-23.5,131,-23.52
Tier_4,NnotM,MAW,1,10,-22.0,117,-22.04
Tier_5,N=M,MWA,1,1,-27.0,228,-27.02
Tier_5,N=M,MWA,1,5,-23.5,156,-23.5
Tier_5,N=M,MWA,1,10,-22.0,130,-22.04
Tier_6,NnotM,MWA,1,1,-27.0,193,-27.1
Tier_6,NnotM,MWA,1,5,-23.5,160,-23.6
Tier_6,NnotM,MWA,1,10,-22.0,145,-22.01
